Kode Kecamatan Kemendagri;"Kode Kecamatan
BPS";Kecamatan;SD/MI NEGERI_A;SD/MI NEGERI_B;SD/MI NEGERI_C;SD/MI NEGERI_NonAkred;SD/MI SWASTA_A;SD/MI SWASTA_B;SD/MI SWASTA_C;SD/MI SWASTA_NonAkred;Periode;Tahun
357827;3578160;SUKOMANUNGGAL;9;0;0;0;10;6;0;4;Maret;2025
357806;3578170;SAWAHAN;18;3;0;0;5;11;4;0;Maret;2025
357805;3578180;TEGALSARI;12;3;0;0;6;6;3;1;Maret;2025
357807;3578190;GENTENG;8;1;0;0;4;4;1;3;Maret;2025
357810;3578200;TAMBAKSARI;15;3;0;0;11;15;2;0;Maret;2025
357817;3578210;KENJERAN;7;1;0;0;12;13;2;5;Maret;2025
357829;3578211;BULAK;5;0;0;0;7;5;1;0;Maret;2025
357811;3578220;SIMOKERTO;8;0;0;0;5;11;0;0;Maret;2025
357816;3578230;SEMAMPIR;9;2;0;0;10;34;7;0;Maret;2025
357812;3578240;PABEAN CANTIAN;4;0;0;0;6;8;0;0;Maret;2025
357813;3578250;BUBUTAN;10;0;0;0;5;13;2;0;Maret;2025
357815;3578260;KREMBANGAN;9;2;0;0;13;11;3;0;Maret;2025
357828;3578270;ASEM ROWO;3;0;0;0;1;9;1;2;Maret;2025
357819;3578280;BENOWO;8;0;0;0;6;4;0;1;Maret;2025
357830;3578281;PAKAL;6;0;0;0;6;8;0;1;Maret;2025
357801;3578010;KARANG PILANG;6;1;0;0;7;1;0;0;April;2025
357823;3578020;JAMBANGAN;6;0;0;0;5;1;0;0;April;2025
357822;3578030;GAYUNGAN;8;0;0;0;4;3;0;0;April;2025
357802;3578040;WONOCOLO;8;1;0;0;7;2;1;1;April;2025
357824;3578050;TENGGILIS MEJOYO;6;0;0;0;5;5;1;2;April;2025
357825;3578060;GUNUNG ANYAR;3;1;0;0;6;3;1;2;April;2025
357803;3578070;RUNGKUT;12;1;0;0;10;5;0;1;April;2025
357809;3578080;SUKOLILO;11;0;0;0;17;5;0;0;April;2025
357826;3578090;MULYOREJO;7;0;0;0;15;1;0;0;April;2025
357808;3578100;GUBENG;13;0;0;0;8;6;2;0;April;2025
357804;3578110;WONOKROMO;9;1;0;0;10;17;0;3;April;2025
357821;3578120;DUKUH PAKIS;7;1;0;2;11;1;0;0;April;2025
357820;3578130;WIYUNG;6;0;0;0;6;3;0;1;April;2025
357818;3578140;LAKARSANTRI;11;1;0;0;9;5;0;5;April;2025
357831;3578141;SAMBIKEREP;6;0;0;0;9;6;1;1;April;2025
357814;3578150;TANDES;12;0;0;0;11;3;2;3;April;2025
357827;3578160;SUKOMANUNGGAL;9;0;0;0;10;6;0;4;April;2025
357806;3578170;SAWAHAN;18;3;0;0;5;11;4;0;April;2025
357805;3578180;TEGALSARI;12;3;0;0;6;6;3;1;April;2025
357807;3578190;GENTENG;8;1;0;0;4;4;1;3;April;2025
357810;3578200;TAMBAKSARI;15;3;0;0;11;15;2;0;April;2025
357817;3578210;KENJERAN;7;1;0;0;12;13;2;5;April;2025
357829;3578211;BULAK;5;0;0;0;7;5;1;0;April;2025
357811;3578220;SIMOKERTO;8;0;0;0;5;11;0;0;April;2025
357816;3578230;SEMAMPIR;9;2;0;0;10;34;7;0;April;2025
357812;3578240;PABEAN CANTIAN;4;0;0;0;6;8;0;0;April;2025
357813;3578250;BUBUTAN;10;0;0;0;5;13;2;0;April;2025
357815;3578260;KREMBANGAN;9;2;0;0;13;11;3;0;April;2025
357828;3578270;ASEM ROWO;3;0;0;0;1;9;1;2;April;2025
357819;3578280;BENOWO;8;0;0;0;6;4;0;1;April;2025
357830;3578281;PAKAL;6;0;0;0;6;8;0;1;April;2025
357801;3578010;KARANG PILANG;6;1;0;0;7;1;0;0;Mei;2025
357823;3578020;JAMBANGAN;6;0;0;0;5;1;0;0;Mei;2025
357822;3578030;GAYUNGAN;8;0;0;0;4;3;0;0;Mei;2025
357802;3578040;WONOCOLO;8;1;0;0;7;2;1;1;Mei;2025
357824;3578050;TENGGILIS MEJOYO;6;0;0;0;5;5;1;2;Mei;2025
357825;3578060;GUNUNG ANYAR;3;1;0;0;6;3;1;3;Mei;2025
357803;3578070;RUNGKUT;12;1;0;0;10;5;0;1;Mei;2025
357809;3578080;SUKOLILO;11;0;0;0;17;5;0;0;Mei;2025
357826;3578090;MULYOREJO;7;0;0;0;15;1;0;0;Mei;2025
357808;3578100;GUBENG;13;0;0;0;8;6;2;0;Mei;2025
357804;3578110;WONOKROMO;9;1;0;0;10;17;0;3;Mei;2025
357821;3578120;DUKUH PAKIS;7;1;0;2;11;1;0;0;Mei;2025
357820;3578130;WIYUNG;6;0;0;0;6;3;0;1;Mei;2025
357818;3578140;LAKARSANTRI;11;1;0;0;9;5;0;5;Mei;2025
357831;3578141;SAMBIKEREP;6;0;0;0;9;6;1;1;Mei;2025
357814;3578150;TANDES;12;0;0;0;11;3;2;3;Mei;2025
357827;3578160;SUKOMANUNGGAL;9;0;0;0;10;6;0;4;Mei;2025
357806;3578170;SAWAHAN;18;3;0;0;5;11;4;0;Mei;2025
357805;3578180;TEGALSARI;12;3;0;0;6;6;3;1;Mei;2025
357807;3578190;GENTENG;8;1;0;0;4;4;1;3;Mei;2025
357810;3578200;TAMBAKSARI;15;3;0;0;11;15;2;0;Mei;2025
357817;3578210;KENJERAN;7;1;0;0;12;13;2;5;Mei;2025
357829;3578211;BULAK;5;0;0;0;7;5;1;0;Mei;2025
357811;3578220;SIMOKERTO;8;0;0;0;5;11;0;0;Mei;2025
357816;3578230;SEMAMPIR;9;2;0;0;10;34;7;1;Mei;2025
357812;3578240;PABEAN CANTIAN;4;0;0;0;6;8;0;0;Mei;2025
357813;3578250;BUBUTAN;10;0;0;0;5;13;2;0;Mei;2025
357815;3578260;KREMBANGAN;9;2;0;0;13;11;3;0;Mei;2025
357828;3578270;ASEM ROWO;3;0;0;0;1;9;1;2;Mei;2025
357819;3578280;BENOWO;8;0;0;0;6;4;0;1;Mei;2025
357830;3578281;PAKAL;6;0;0;0;6;8;0;1;Mei;2025
357801;3578010;KARANG PILANG;6;1;0;0;7;1;0;0;Juni;2025
357823;3578020;JAMBANGAN;6;0;0;0;5;1;0;0;Juni;2025
357822;3578030;GAYUNGAN;8;0;0;0;4;3;0;0;Juni;2025
357802;3578040;WONOCOLO;8;1;0;0;7;2;1;1;Juni;2025
357824;3578050;TENGGILIS MEJOYO;6;0;0;0;5;5;1;2;Juni;2025
357825;3578060;GUNUNG ANYAR;3;1;0;0;6;3;1;3;Juni;2025
357803;3578070;RUNGKUT;12;1;0;0;10;5;0;1;Juni;2025
357809;3578080;SUKOLILO;11;0;0;0;17;5;0;0;Juni;2025
357826;3578090;MULYOREJO;7;0;0;0;15;1;0;0;Juni;2025
357808;3578100;GUBENG;13;0;0;0;8;6;2;0;Juni;2025
357804;3578110;WONOKROMO;9;1;0;0;9;17;0;3;Juni;2025
357821;3578120;DUKUH PAKIS;7;1;0;2;11;1;0;0;Juni;2025
357820;3578130;WIYUNG;6;0;0;0;6;3;0;1;Juni;2025
357818;3578140;LAKARSANTRI;11;1;0;0;9;5;0;5;Juni;2025
357831;3578141;SAMBIKEREP;6;0;0;0;9;6;1;1;Juni;2025
357814;3578150;TANDES;12;0;0;0;11;3;2;3;Juni;2025
357827;3578160;SUKOMANUNGGAL;9;0;0;0;10;6;0;4;Juni;2025
357806;3578170;SAWAHAN;18;3;0;0;5;11;4;0;Juni;2025
357805;3578180;TEGALSARI;12;3;0;0;6;6;3;1;Juni;2025
357807;3578190;GENTENG;8;1;0;0;4;4;1;3;Juni;2025
357810;3578200;TAMBAKSARI;15;3;0;0;11;15;2;0;Juni;2025
357817;3578210;KENJERAN;7;1;0;0;12;13;2;5;Juni;2025
357829;3578211;BULAK;5;0;0;0;7;5;1;0;Juni;2025
357811;3578220;SIMOKERTO;8;0;0;0;5;11;0;0;Juni;2025
357816;3578230;SEMAMPIR;9;2;0;0;10;34;7;1;Juni;2025
357812;3578240;PABEAN CANTIAN;4;0;0;0;6;8;0;0;Juni;2025
357813;3578250;BUBUTAN;10;0;0;0;5;13;2;0;Juni;2025
357815;3578260;KREMBANGAN;9;2;0;0;13;11;3;0;Juni;2025
357828;3578270;ASEM ROWO;3;0;0;0;1;9;1;2;Juni;2025
357819;3578280;BENOWO;8;0;0;0;6;4;0;1;Juni;2025
357830;3578281;PAKAL;6;0;0;0;6;8;0;1;Juni;2025
357801;3578010;KARANG PILANG;6;1;0;0;7;1;0;0;Juli;2025
357823;3578020;JAMBANGAN;6;0;0;0;5;1;0;0;Juli;2025
357822;3578030;GAYUNGAN;8;0;0;0;4;3;0;0;Juli;2025
357802;3578040;WONOCOLO;8;1;0;0;7;2;1;1;Juli;2025
357824;3578050;TENGGILIS MEJOYO;6;0;0;0;5;5;1;2;Juli;2025
357825;3578060;GUNUNG ANYAR;3;1;0;0;6;3;1;3;Juli;2025
357803;3578070;RUNGKUT;12;1;0;0;11;4;0;1;Juli;2025
357809;3578080;SUKOLILO;11;0;0;0;17;5;0;0;Juli;2025
357826;3578090;MULYOREJO;7;0;0;0;15;1;0;0;Juli;2025
357808;3578100;GUBENG;13;0;0;0;8;6;2;0;Juli;2025
357804;3578110;WONOKROMO;9;1;0;0;9;17;0;3;Juli;2025
357821;3578120;DUKUH PAKIS;7;2;0;1;11;1;0;0;Juli;2025
357820;3578130;WIYUNG;6;0;0;0;6;3;0;1;Juli;2025
357818;3578140;LAKARSANTRI;11;1;0;0;9;5;0;5;Juli;2025
357831;3578141;SAMBIKEREP;6;0;0;0;9;6;1;1;Juli;2025
357814;3578150;TANDES;12;0;0;0;11;3;2;3;Juli;2025
357827;3578160;SUKOMANUNGGAL;9;0;0;0;10;6;0;4;Juli;2025
357806;3578170;SAWAHAN;18;3;0;0;5;11;4;0;Juli;2025
357805;3578180;TEGALSARI;12;3;0;0;6;6;3;1;Juli;2025
357807;3578190;GENTENG;8;1;0;0;4;4;1;3;Juli;2025
357810;3578200;TAMBAKSARI;15;3;0;0;11;15;2;0;Juli;2025
357817;3578210;KENJERAN;7;1;0;0;12;13;2;5;Juli;2025
357829;3578211;BULAK;5;0;0;0;7;5;1;0;Juli;2025
357811;3578220;SIMOKERTO;8;0;0;0;5;11;0;0;Juli;2025
357816;3578230;SEMAMPIR;9;2;0;0;10;34;7;1;Juli;2025
357812;3578240;PABEAN CANTIAN;4;0;0;0;6;8;0;0;Juli;2025
357813;3578250;BUBUTAN;10;0;0;0;5;13;2;0;Juli;2025
357815;3578260;KREMBANGAN;9;2;0;0;13;11;3;0;Juli;2025
357828;3578270;ASEM ROWO;3;0;0;0;1;9;1;2;Juli;2025
357819;3578280;BENOWO;8;0;0;0;6;4;0;1;Juli;2025
357830;3578281;PAKAL;6;0;0;0;7;7;0;1;Juli;2025
357801;3578010;KARANG PILANG;6;1;0;0;7;1;0;0;Agustus;2025
357823;3578020;JAMBANGAN;6;0;0;0;5;1;0;0;Agustus;2025
357822;3578030;GAYUNGAN;7;0;0;0;4;3;0;0;Agustus;2025
357802;3578040;WONOCOLO;8;1;0;0;7;2;1;1;Agustus;2025
357824;3578050;TENGGILIS MEJOYO;6;0;0;0;5;5;1;2;Agustus;2025
357825;3578060;GUNUNG ANYAR;3;1;0;0;6;3;1;3;Agustus;2025
357803;3578070;RUNGKUT;12;1;0;0;11;4;0;1;Agustus;2025
357809;3578080;SUKOLILO;11;0;0;0;17;5;0;0;Agustus;2025
357826;3578090;MULYOREJO;7;0;0;0;15;1;0;0;Agustus;2025
357808;3578100;GUBENG;13;0;0;0;8;6;2;0;Agustus;2025
357804;3578110;WONOKROMO;9;1;0;0;9;17;0;3;Agustus;2025
357821;3578120;DUKUH PAKIS;8;2;0;0;11;1;0;0;Agustus;2025
357820;3578130;WIYUNG;6;0;0;0;6;3;0;1;Agustus;2025
357818;3578140;LAKARSANTRI;11;1;0;0;9;5;0;5;Agustus;2025
357831;3578141;SAMBIKEREP;6;0;0;0;9;6;1;1;Agustus;2025
357814;3578150;TANDES;12;0;0;0;11;3;2;3;Agustus;2025
357827;3578160;SUKOMANUNGGAL;9;0;0;0;10;6;0;4;Agustus;2025
357806;3578170;SAWAHAN;18;3;0;0;5;11;4;0;Agustus;2025
357805;3578180;TEGALSARI;12;3;0;0;6;6;3;1;Agustus;2025
357807;3578190;GENTENG;8;1;0;0;5;4;1;2;Agustus;2025
357810;3578200;TAMBAKSARI;15;3;0;0;11;15;2;0;Agustus;2025
357817;3578210;KENJERAN;7;1;0;0;12;13;2;5;Agustus;2025
357829;3578211;BULAK;5;0;0;0;7;5;1;0;Agustus;2025
357811;3578220;SIMOKERTO;8;0;0;0;5;11;0;0;Agustus;2025
357816;3578230;SEMAMPIR;9;2;0;0;10;34;7;1;Agustus;2025
357812;3578240;PABEAN CANTIAN;4;0;0;0;6;8;0;0;Agustus;2025
357813;3578250;BUBUTAN;10;0;0;0;5;13;2;0;Agustus;2025
357815;3578260;KREMBANGAN;9;2;0;0;13;11;3;0;Agustus;2025
357828;3578270;ASEM ROWO;3;0;0;0;1;9;1;2;Agustus;2025
357819;3578280;BENOWO;8;0;0;0;6;4;0;1;Agustus;2025
357830;3578281;PAKAL;6;0;0;0;7;7;0;1;Agustus;2025
357801;3578010;KARANG PILANG;6;1;0;0;7;1;0;0;September;2025
357823;3578020;JAMBANGAN;6;0;0;0;5;1;0;0;September;2025
357822;3578030;GAYUNGAN;7;0;0;0;4;3;0;0;September;2025
357802;3578040;WONOCOLO;8;1;0;0;7;2;1;1;September;2025
357824;3578050;TENGGILIS MEJOYO;6;0;0;0;5;5;1;2;September;2025
357825;3578060;GUNUNG ANYAR;3;1;0;0;7;3;0;3;September;2025
357803;3578070;RUNGKUT;12;1;0;0;11;4;0;1;September;2025
357809;3578080;SUKOLILO;11;0;0;0;17;5;0;0;September;2025
357826;3578090;MULYOREJO;7;0;0;0;15;1;0;0;September;2025
357808;3578100;GUBENG;13;0;0;0;8;6;2;0;September;2025
357804;3578110;WONOKROMO;9;1;0;0;9;17;0;3;September;2025
357821;3578120;DUKUH PAKIS;8;2;0;0;11;1;0;0;September;2025
357820;3578130;WIYUNG;6;0;0;0;6;3;0;1;September;2025
357818;3578140;LAKARSANTRI;11;1;0;0;11;4;0;4;September;2025
357831;3578141;SAMBIKEREP;6;0;0;0;9;6;1;1;September;2025
357814;3578150;TANDES;12;0;0;0;11;3;2;3;September;2025
357827;3578160;SUKOMANUNGGAL;9;0;0;0;10;6;0;4;September;2025
357806;3578170;SAWAHAN;18;3;0;0;5;11;4;0;September;2025
357805;3578180;TEGALSARI;12;3;0;0;6;6;3;1;September;2025
357807;3578190;GENTENG;8;1;0;0;5;4;1;2;September;2025
357810;3578200;TAMBAKSARI;15;3;0;0;11;15;2;0;September;2025
357817;3578210;KENJERAN;7;1;0;0;12;13;2;5;September;2025
357829;3578211;BULAK;5;0;0;0;7;5;1;0;September;2025
357811;3578220;SIMOKERTO;8;0;0;0;5;11;0;0;September;2025
357816;3578230;SEMAMPIR;9;2;0;0;10;34;7;1;September;2025
357812;3578240;PABEAN CANTIAN;4;0;0;0;6;8;0;0;September;2025
357813;3578250;BUBUTAN;10;0;0;0;5;13;2;0;September;2025
357815;3578260;KREMBANGAN;9;2;0;0;13;11;3;0;September;2025
357828;3578270;ASEM ROWO;3;0;0;0;1;9;1;2;September;2025
357819;3578280;BENOWO;8;0;0;0;6;4;0;1;September;2025
357830;3578281;PAKAL;6;0;0;0;7;7;0;1;September;2025
357801;3578010;KARANG PILANG;6;1;0;0;7;1;0;0;Oktober;2025
357823;3578020;JAMBANGAN;6;0;0;0;5;1;0;0;Oktober;2025
357822;3578030;GAYUNGAN;7;0;0;0;4;3;0;0;Oktober;2025
357802;3578040;WONOCOLO;8;1;0;0;7;2;1;1;Oktober;2025
357824;3578050;TENGGILIS MEJOYO;6;0;0;0;5;5;1;2;Oktober;2025
357825;3578060;GUNUNG ANYAR;3;1;0;0;7;3;0;3;Oktober;2025
357803;3578070;RUNGKUT;12;1;0;0;11;4;0;1;Oktober;2025
357809;3578080;SUKOLILO;11;0;0;0;17;5;0;0;Oktober;2025
357826;3578090;MULYOREJO;7;0;0;0;15;1;0;0;Oktober;2025
357808;3578100;GUBENG;13;0;0;0;8;6;2;0;Oktober;2025
357804;3578110;WONOKROMO;9;1;0;0;9;17;0;3;Oktober;2025
357821;3578120;DUKUH PAKIS;8;2;0;0;11;1;0;0;Oktober;2025
357820;3578130;WIYUNG;6;0;0;0;6;3;0;1;Oktober;2025
357818;3578140;LAKARSANTRI;11;1;0;0;11;4;0;4;Oktober;2025
357831;3578141;SAMBIKEREP;6;0;0;0;9;6;1;1;Oktober;2025
357814;3578150;TANDES;12;0;0;0;11;3;2;3;Oktober;2025
357827;3578160;SUKOMANUNGGAL;9;0;0;0;10;6;0;4;Oktober;2025
357806;3578170;SAWAHAN;18;3;0;0;5;11;4;0;Oktober;2025
357805;3578180;TEGALSARI;12;3;0;0;6;6;3;1;Oktober;2025
357807;3578190;GENTENG;8;1;0;0;5;4;1;2;Oktober;2025
357810;3578200;TAMBAKSARI;15;3;0;0;11;15;2;0;Oktober;2025
357817;3578210;KENJERAN;7;1;0;0;12;13;2;5;Oktober;2025
357829;3578211;BULAK;5;0;0;0;7;5;1;0;Oktober;2025
357811;3578220;SIMOKERTO;8;0;0;0;5;11;0;0;Oktober;2025
357816;3578230;SEMAMPIR;9;2;0;0;10;34;7;1;Oktober;2025
357812;3578240;PABEAN CANTIAN;4;0;0;0;6;8;0;0;Oktober;2025
357813;3578250;BUBUTAN;10;0;0;0;5;13;2;0;Oktober;2025
357815;3578260;KREMBANGAN;9;2;0;0;13;11;3;0;Oktober;2025
357828;3578270;ASEM ROWO;3;0;0;0;1;9;1;2;Oktober;2025
357819;3578280;BENOWO;8;0;0;0;6;4;0;1;Oktober;2025
357830;3578281;PAKAL;6;0;0;0;7;7;0;1;Oktober;2025
357801;3578010;KARANG PILANG;6;1;0;0;7;1;0;0;November;2025
357823;3578020;JAMBANGAN;6;0;0;0;5;1;0;0;November;2025
357822;3578030;GAYUNGAN;7;0;0;0;4;3;0;0;November;2025
357802;3578040;WONOCOLO;8;1;0;0;7;2;1;1;November;2025
357824;3578050;TENGGILIS MEJOYO;6;0;0;0;5;5;1;2;November;2025
357825;3578060;GUNUNG ANYAR;3;1;0;0;7;3;0;3;November;2025
357803;3578070;RUNGKUT;12;1;0;0;11;4;0;1;November;2025
357809;3578080;SUKOLILO;11;0;0;0;17;5;0;0;November;2025
357826;3578090;MULYOREJO;7;0;0;0;15;1;0;0;November;2025
357808;3578100;GUBENG;13;0;0;0;8;6;2;0;November;2025
357804;3578110;WONOKROMO;9;1;0;0;9;17;0;3;November;2025
357821;3578120;DUKUH PAKIS;8;2;0;0;11;1;0;0;November;2025
357820;3578130;WIYUNG;6;0;0;0;6;3;0;1;November;2025
357818;3578140;LAKARSANTRI;11;1;0;0;11;4;0;5;November;2025
357831;3578141;SAMBIKEREP;6;0;0;0;9;6;1;1;November;2025
357814;3578150;TANDES;12;0;0;0;11;3;2;3;November;2025
357827;3578160;SUKOMANUNGGAL;9;0;0;0;10;6;0;4;November;2025
357806;3578170;SAWAHAN;18;3;0;0;5;11;4;0;November;2025
357805;3578180;TEGALSARI;12;3;0;0;6;6;3;1;November;2025
357807;3578190;GENTENG;8;1;0;0;5;4;1;2;November;2025
357810;3578200;TAMBAKSARI;15;3;0;0;11;15;2;0;November;2025
357817;3578210;KENJERAN;7;1;0;0;12;13;2;5;November;2025
357829;3578211;BULAK;5;0;0;0;7;5;1;0;November;2025
357811;3578220;SIMOKERTO;8;0;0;0;5;11;0;0;November;2025
357816;3578230;SEMAMPIR;9;2;0;0;10;34;7;1;November;2025
357812;3578240;PABEAN CANTIAN;4;0;0;0;6;8;0;0;November;2025
357813;3578250;BUBUTAN;10;0;0;0;5;13;2;0;November;2025
357815;3578260;KREMBANGAN;9;2;0;0;13;11;3;0;November;2025
357828;3578270;ASEM ROWO;3;0;0;0;1;9;1;2;November;2025
357819;3578280;BENOWO;8;0;0;0;6;4;0;1;November;2025
357830;3578281;PAKAL;6;0;0;0;7;7;0;1;November;2025
357801;3578010;KARANG PILANG;6;1;0;0;7;1;0;0;Desember;2025
357823;3578020;JAMBANGAN;6;0;0;0;5;1;0;0;Desember;2025
357822;3578030;GAYUNGAN;7;0;0;0;4;3;0;0;Desember;2025
357802;3578040;WONOCOLO;8;1;0;0;7;2;1;1;Desember;2025
357824;3578050;TENGGILIS MEJOYO;6;0;0;0;5;5;1;2;Desember;2025
357825;3578060;GUNUNG ANYAR;3;1;0;0;7;3;0;3;Desember;2025
357803;3578070;RUNGKUT;12;1;0;0;11;4;0;1;Desember;2025
357809;3578080;SUKOLILO;11;0;0;0;17;5;0;0;Desember;2025
357826;3578090;MULYOREJO;7;0;0;0;15;1;0;0;Desember;2025
357808;3578100;GUBENG;13;0;0;0;8;6;2;0;Desember;2025
357804;3578110;WONOKROMO;9;1;0;0;9;17;0;3;Desember;2025
357821;3578120;DUKUH PAKIS;8;2;0;0;11;1;0;0;Desember;2025
357820;3578130;WIYUNG;6;0;0;0;6;3;0;1;Desember;2025
357818;3578140;LAKARSANTRI;11;1;0;0;11;4;0;5;Desember;2025
357831;3578141;SAMBIKEREP;6;0;0;0;9;6;1;1;Desember;2025
357814;3578150;TANDES;12;0;0;0;11;3;2;3;Desember;2025
