Kode Kecamatan Kemendagri,Kode Kecamatan BPS,Kecamatan,SD/MI NEGERI_A,SD/MI NEGERI_B,SD/MI NEGERI_C,SD/MI NEGERI_NonAkred,SD/MI SWASTA_A,SD/MI SWASTA_B,SD/MI SWASTA_C,SD/MI SWASTA_NonAkred,SMP/MTS NEGERI_A,SMP/MTS NEGERI_B,SMP/MTS NEGERI_C,SMP/MTS NEGERI_NonAkred,SMP/MTS SWASTA_A,SMP/MTS SWASTA_B,SMP/MTS SWASTA_C,SMP/MTS SWASTA_NonAkred,SD Inklusi,Siswa Inklusi SD,SMP Inklusi,Siswa Inklusi SMP,7 L,7 P,8 L,8 P,9 L,9 P,10 L,10 P,11 L,11 P,12 L,12 P,13 L,13 P,14 L,14 P,15 L,15 P,16 L,16 P,Jumlah_Faskes,Latitude,Longitude,Periode,Tahun,Total SD A,Total SD B,Total SD C,Total SD Non Akred,Total SD/MI,Total SMP A,Total SMP B,Total SMP C,Total SMP Non Akred,Total SMP/MTS,Total Siswa Inklusi,Total Sekolah Inklusi,Umur SD,Umur SMP,Rasio_Faskes_per_1000_Anak
357818,3578140,LAKARSANTRI,11,1,0,0,9,5,0,5,3.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,5.0,27.0,2.0,49.0,511,499,526,459,510,514,504,451,499,532,572,494,581,555,545,529,547,495,541,510,30,-7.2271598,112.7069053,Januari,2025,20,6,0,5,31,10.0,2.0,0.0,0.0,12.0,76.0,7.0,7207,4303,2.6064291920069507
357831,3578141,SAMBIKEREP,6,0,0,0,9,5,1,2,2.0,0.0,0.0,0.0,8.0,7.0,0.0,2.0,3.0,62.0,2.0,90.0,525,515,509,484,511,497,526,510,569,573,544,501,613,581,645,554,568,548,546,523,30,-7.2751169,112.5835175,Januari,2025,15,5,1,2,23,10.0,7.0,0.0,2.0,19.0,152.0,5.0,7458,4578,2.4925224327018944
357814,3578150,TANDES,12,0,0,0,11,3,2,3,1.0,0.0,0.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,677,675,686,655,738,677,731,708,738,711,718,771,799,750,814,722,778,750,776,718,27,-7.2570032,112.6557509,Januari,2025,23,3,2,3,31,8.0,5.0,1.0,0.0,14.0,0.0,0.0,10034,6107,1.672758812960783
357827,3578160,SUKOMANUNGGAL,9,0,0,0,10,6,0,4,4.0,0.0,0.0,0.0,6.0,7.0,0.0,1.0,5.0,36.0,3.0,13.0,838,753,745,755,799,754,808,695,843,767,845,776,919,819,779,823,811,735,817,742,29,-7.2704821,112.6635242,Januari,2025,19,6,0,4,29,10.0,7.0,0.0,1.0,18.0,49.0,8.0,11116,6445,1.6513865952963955
357806,3578170,SAWAHAN,18,3,0,0,5,11,4,0,1.0,0.0,0.0,0.0,8.0,3.0,1.0,1.0,6.0,149.0,1.0,58.0,1423,1316,1408,1397,1436,1374,1416,1398,1570,1488,1663,1552,1654,1597,1646,1528,1598,1546,1651,1533,44,-7.2738052,112.7039424,Januari,2025,23,14,4,0,41,9.0,3.0,1.0,1.0,14.0,207.0,7.0,20692,12753,1.3155927642397967
357805,3578180,TEGALSARI,12,3,0,0,6,6,3,1,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,89.0,1.0,4.0,699,708,674,700,749,692,720,697,785,703,783,721,770,785,779,754,781,727,790,749,48,-7.2743436,112.7011212,Januari,2025,18,9,3,1,31,6.0,3.0,0.0,0.0,9.0,93.0,6.0,10186,6135,2.9409962624839165
357807,3578190,GENTENG,8,1,0,0,4,4,1,3,4.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,40.0,4.0,98.0,385,397,394,423,401,386,434,383,404,410,467,417,469,455,447,466,419,405,439,450,38,-7.3280627,112.7092178,Januari,2025,12,5,1,3,21,8.0,3.0,0.0,0.0,11.0,138.0,7.0,5825,3550,4.053333333333334
357810,3578200,TAMBAKSARI,15,3,0,0,11,15,2,0,2.0,0.0,0.0,0.0,8.0,8.0,2.0,0.0,8.0,132.0,2.0,116.0,1750,1613,1650,1587,1674,1632,1680,1660,1832,1733,1819,1708,1937,1800,1885,1794,1913,1673,1900,1740,49,-7.2510122,112.7519789,Januari,2025,26,18,2,0,46,10.0,8.0,2.0,0.0,20.0,248.0,10.0,24075,14642,1.2655939251491592
357817,3578210,KENJERAN,7,1,0,0,12,13,2,5,5.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,6.0,90.0,2.0,34.0,1709,1593,1710,1606,1611,1545,1565,1541,1585,1496,1663,1505,1668,1584,1673,1538,1595,1484,1578,1570,22,-7.2163132,112.7543833,Januari,2025,19,14,2,5,40,11.0,6.0,2.0,2.0,21.0,124.0,8.0,22381,12690,0.6272989079296285
357829,3578211,BULAK,5,0,0,0,7,5,1,0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,47.0,1.0,1.0,381,381,378,376,374,375,405,406,391,385,426,386,434,428,419,401,405,412,432,410,10,-7.2322521,112.7710484,Januari,2025,12,5,1,0,18,6.0,1.0,0.0,0.0,7.0,48.0,3.0,5526,3341,1.127777151234916
357811,3578220,SIMOKERTO,8,0,0,0,5,11,0,0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,3.0,37.0,2.0,19.0,704,656,709,667,743,619,741,681,743,713,754,697,817,708,794,697,710,692,752,722,21,-7.2396746,112.735557,Januari,2025,13,11,0,0,24,6.0,5.0,0.0,1.0,12.0,56.0,5.0,9952,5892,1.3254228730118656
